1,"(51, 52)",🥹
10,"(37, 38)",🥹
100,"(22, 23)",🥹
1000,"(35, 36)",🥹
10000,"(62, 63)",🥹
10001,"(77, 78)",🥹
10002,"(73, 74)",🥹
10003,"(62, 63)",🥹
10004,"(23, 24)",🥹
10005,"(68, 69)",🥹
10006,"(59, 60)",🥹
10007,"(67, 68)",🥹
10008,"(0, 1)",🥹
10009,"(201, 202)",🥹
1001,"(74, 75)",🥹
10010,"(19, 20)",🥹
10011,"(113, 114)",😭
10011,"(114, 115)",🥹
10012,"(18, 19)",🥹
10013,"(16, 17)",😭
10013,"(56, 57)",🥹
10014,"(118, 119)",🥹
10015,"(57, 58)",🥹
10016,"(74, 75)",🥹
10017,"(65, 66)",🥹
10018,"(94, 95)",🥹
10019,"(5, 6)",🥹
10019,"(105, 106)",🥹
1002,"(105, 106)",🥹
10020,"(61, 62)",🥹
10021,"(58, 59)",🥹
10022,"(17, 18)",🥹
10023,"(30, 31)",🥹
10024,"(75, 76)",🥹
10025,"(37, 38)",🥹
10026,"(39, 40)",🥹
10027,"(66, 67)",😭
10027,"(67, 68)",🥹
10028,"(88, 89)",🥹
10029,"(106, 107)",🥹
1003,"(62, 63)",🥹
10030,"(8, 9)",🥹
10030,"(9, 10)",😭
10031,"(79, 80)",🥹
10032,"(40, 41)",🥹
10033,"(24, 25)",🥹
10034,"(57, 58)",🥹
10035,"(59, 60)",🥹
10036,"(30, 31)",🥹
10037,"(137, 138)",🥹
10038,"(68, 69)",🥹
10039,"(114, 115)",🥹
1004,"(75, 76)",🥹
10040,"(255, 256)",🥹
10041,"(98, 99)",🥹
10042,"(15, 16)",🥹
10043,"(48, 49)",🥹
10044,"(33, 34)",🥹
10045,"(10, 11)",🥹
10046,"(26, 27)",🥹
10047,"(19, 20)",🥹
10048,"(15, 16)",🥹
10049,"(29, 30)",🥹
1005,"(24, 25)",🥹
10050,"(12, 13)",🥹
10051,"(17, 18)",🥹
10052,"(52, 53)",🥹
10052,"(82, 83)",😭
10053,"(41, 42)",🥹
10054,"(108, 109)",🥹
10055,"(31, 32)",🥹
10056,"(30, 31)",🥹
10057,"(36, 37)",🥹
10058,"(9, 10)",😭
10058,"(10, 11)",🥹
10059,"(107, 108)",🥹
1006,"(45, 46)",🥹
10060,"(18, 19)",🥹
10061,"(18, 19)",🥹
10062,"(146, 147)",🥹
10062,"(147, 148)",😭
10063,"(5, 6)",🥹
10064,"(31, 32)",🥹
10065,"(24, 25)",🥹
10066,"(109, 110)",🥹
10067,"(44, 45)",🥹
10068,"(101, 102)",🥹
10069,"(33, 34)",🥹
1007,"(20, 21)",😭
1007,"(21, 22)",🥹
10070,"(20, 21)",🥹
10071,"(34, 35)",🥹
10072,"(34, 35)",🥹
10073,"(19, 20)",🥹
10074,"(0, 1)",🥹
10075,"(57, 58)",🥹
10076,"(40, 41)",🥹
10077,"(17, 18)",🥹
10078,"(69, 70)",🥹
10079,"(21, 22)",🥹
1008,"(52, 53)",🥹
10080,"(35, 36)",🥹
10081,"(75, 76)",🥹
10082,"(93, 94)",🥹
10083,"(107, 108)",🥹
10084,"(30, 31)",😭
10084,"(31, 32)",🥹
10085,"(18, 19)",🥹
10086,"(25, 26)",🥹
10086,"(68, 70)",😭😭
10087,"(27, 28)",🥹
10088,"(145, 146)",🥹
10089,"(20, 21)",🥹
1009,"(222, 223)",🥹
10090,"(48, 49)",🥹
10091,"(146, 147)",🥹
10092,"(46, 47)",🥹
10093,"(66, 67)",😭
10093,"(103, 104)",🥹
10094,"(90, 91)",🥹
10095,"(273, 274)",🥹
10096,"(31, 32)",🥹
10097,"(45, 46)",🥹
10098,"(104, 105)",🥹
10099,"(12, 13)",🥹
101,"(40, 41)",🥹
1010,"(149, 150)",🥹
10100,"(3, 4)",🥹
10101,"(41, 42)",🥹
10102,"(34, 35)",🥹
10103,"(137, 138)",🥹
10104,"(33, 34)",🥹
10105,"(241, 242)",🥹
10106,"(171, 172)",🥹
10107,"(75, 76)",🥹
10108,"(26, 27)",🥹
10108,"(51, 52)",😭
10108,"(106, 109)",😭😭😭
10109,"(27, 28)",🥹
1011,"(46, 47)",🥹
10110,"(17, 18)",🥹
10111,"(76, 77)",🥹
10112,"(17, 18)",🥹
10113,"(74, 75)",🥹
10114,"(71, 72)",🥹
10115,"(37, 38)",🥹
10116,"(54, 55)",🥹
10117,"(91, 92)",🥹
10118,"(88, 89)",🥹
10119,"(12, 13)",🥹
1012,"(14, 15)",🥹
1012,"(51, 52)",😭
10120,"(36, 37)",🥹
10121,"(63, 64)",🥹
10122,"(64, 65)",🥹
10123,"(0, 1)",🥹
10124,"(267, 268)",🥹
10125,"(93, 94)",🥹
10126,"(25, 26)",🥹
10126,"(26, 27)",😭
10127,"(19, 20)",🥹
10128,"(56, 57)",🥹
10129,"(55, 56)",🥹
1013,"(80, 81)",😭
1013,"(144, 145)",😭
1013,"(146, 147)",🥹
10130,"(7, 8)",🥹
10131,"(68, 69)",🥹
10132,"(88, 89)",🥹
10133,"(43, 44)",🥹
10134,"(46, 47)",🥹
10135,"(15, 16)",🥹
10135,"(66, 67)",🥹
10136,"(24, 25)",🥹
10137,"(93, 94)",🥹
10138,"(45, 46)",🥹
10139,"(56, 57)",🥹
1014,"(76, 77)",🥹
10140,"(50, 51)",🥹
10141,"(18, 19)",🥹
10142,"(9, 10)",🥹
10143,"(12, 13)",🥹
10144,"(46, 47)",🥹
10145,"(80, 81)",🥹
10146,"(30, 31)",🥹
10147,"(40, 41)",🥹
10148,"(8, 9)",🥹
10149,"(56, 57)",🥹
1015,"(56, 57)",😭
1015,"(57, 58)",🥹
10150,"(33, 34)",🥹
10151,"(48, 49)",🥹
10152,"(102, 103)",🥹
10153,"(47, 48)",🥹
10154,"(11, 12)",🥹
10155,"(30, 31)",🥹
10156,"(10, 11)",🥹
10157,"(40, 41)",🥹
10158,"(45, 46)",🥹
10159,"(22, 23)",🥹
1016,"(116, 117)",🥹
10160,"(0, 1)",🥹
10161,"(89, 90)",🥹
10162,"(93, 94)",🥹
10163,"(56, 57)",🥹
10164,"(61, 62)",🥹
10165,"(14, 15)",🥹
10166,"(14, 15)",🥹
10167,"(48, 49)",🥹
10168,"(174, 175)",🥹
10169,"(54, 55)",🥹
1017,"(29, 30)",😭
1017,"(53, 54)",😭
1017,"(124, 131)",😭😭😭😭😭😭😭
1017,"(131, 132)",🥹
10170,"(16, 17)",🥹
10171,"(39, 40)",🥹
10172,"(19, 20)",🥹
10173,"(102, 103)",🥹
10174,"(90, 91)",🥹
10175,"(23, 24)",🥹
10176,"(29, 30)",🥹
10177,"(56, 57)",🥹
10178,"(80, 81)",🥹
10179,"(52, 53)",🥹
1018,"(34, 35)",🥹
10180,"(20, 21)",🥹
10181,"(88, 89)",🥹
10182,"(42, 43)",🥹
10183,"(29, 30)",🥹
10184,"(55, 56)",🥹
10185,"(27, 28)",🥹
10186,"(23, 24)",🥹
10187,"(36, 37)",🥹
10188,"(54, 55)",🥹
10189,"(30, 31)",🥹
1019,"(92, 93)",🥹
10190,"(28, 29)",🥹
10191,"(28, 29)",🥹
10192,"(29, 30)",🥹
10193,"(0, 3)",😭😭😭
10193,"(81, 82)",🥹
10194,"(80, 81)",🥹
10195,"(78, 79)",🥹
10196,"(18, 19)",🥹
10197,"(47, 48)",🥹
10198,"(149, 150)",🥹
10199,"(46, 47)",🥹
102,"(8, 9)",🥹
1020,"(25, 26)",🥹
10200,"(84, 85)",🥹
10201,"(76, 77)",🥹
10202,"(81, 82)",🥹
10203,"(30, 31)",🥹
10204,"(108, 109)",🥹
10205,"(63, 64)",🥹
10206,"(99, 100)",🥹
10207,"(53, 54)",🥹
10208,"(27, 28)",🥹
10209,"(13, 14)",🥹
1021,"(37, 38)",🥹
10210,"(46, 47)",🥹
10211,"(61, 62)",🥹
10212,"(41, 42)",🥹
10213,"(24, 25)",🥹
10214,"(24, 25)",🥹
10215,"(0, 1)",🥹
10216,"(122, 123)",😭
10216,"(123, 124)",🥹
10217,"(177, 178)",🥹
10218,"(66, 67)",🥹
10219,"(5, 7)",🥹🥹
1022,"(26, 27)",🥹
10220,"(31, 32)",🥹
10221,"(66, 67)",🥹
10222,"(31, 32)",🥹
10223,"(44, 45)",🥹
10224,"(116, 117)",🥹
10225,"(47, 48)",🥹
10226,"(65, 66)",🥹
10227,"(57, 58)",🥹
10228,"(10, 11)",🥹
10229,"(29, 30)",🥹
10229,"(74, 75)",🥹
1023,"(61, 62)",🥹
10230,"(25, 26)",🥹
10231,"(31, 32)",🥹
10232,"(44, 45)",🥹
10233,"(204, 205)",🥹
10234,"(16, 17)",🥹
10235,"(41, 42)",🥹
10235,"(42, 43)",😭
10236,"(1, 2)",🥹
10237,"(53, 54)",🥹
10238,"(146, 147)",🥹
10239,"(54, 55)",🥹
1024,"(40, 41)",😭
1024,"(41, 42)",🥹
10240,"(20, 21)",🥹
10240,"(21, 22)",😭
10241,"(53, 54)",🥹
10241,"(116, 117)",😭
10242,"(78, 79)",🥹
10243,"(0, 1)",🥹
10244,"(26, 27)",🥹
10245,"(45, 46)",🥹
10246,"(38, 39)",🥹
10247,"(30, 31)",🥹
10248,"(44, 45)",🥹
10249,"(25, 26)",🥹
1025,"(29, 30)",🥹
10250,"(13, 14)",🥹
10251,"(25, 26)",🥹
10252,"(38, 39)",🥹
10253,"(57, 58)",🥹
10254,"(40, 41)",🥹
10255,"(16, 17)",🥹
10256,"(41, 42)",🥹
10257,"(12, 13)",🥹
10258,"(14, 15)",🥹
10259,"(26, 27)",😭
10259,"(27, 28)",🥹
1026,"(49, 50)",🥹
10260,"(69, 70)",🥹
10261,"(23, 24)",🥹
10262,"(135, 136)",🥹
10263,"(46, 47)",🥹
10264,"(24, 25)",😭
10264,"(224, 225)",🥹
10265,"(8, 9)",🥹
10266,"(18, 19)",🥹
10267,"(40, 41)",🥹
10268,"(28, 29)",🥹
10269,"(95, 96)",🥹
1027,"(47, 48)",🥹
10270,"(198, 199)",🥹
10271,"(21, 22)",🥹
10272,"(103, 104)",🥹
10273,"(24, 25)",🥹
10274,"(49, 50)",🥹
10275,"(5, 6)",🥹
10275,"(132, 133)",🥹
10276,"(23, 24)",🥹
10277,"(156, 157)",🥹
10278,"(50, 51)",🥹
10279,"(82, 83)",🥹
1028,"(35, 36)",🥹
10280,"(8, 9)",😭
10280,"(9, 10)",🥹
10281,"(37, 38)",🥹
10282,"(50, 51)",🥹
10283,"(14, 15)",🥹
10284,"(70, 71)",🥹
10285,"(53, 54)",🥹
10286,"(44, 45)",🥹
10287,"(15, 16)",🥹
10288,"(88, 89)",🥹
10289,"(48, 49)",🥹
1029,"(51, 52)",🥹
10290,"(49, 50)",🥹
10291,"(29, 30)",🥹
10292,"(43, 44)",🥹
10293,"(20, 21)",🥹
10294,"(20, 21)",🥹
10295,"(70, 71)",🥹
10295,"(71, 72)",😭
10296,"(20, 21)",🥹
10297,"(43, 44)",🥹
10298,"(19, 20)",🥹
10299,"(88, 89)",🥹
103,"(16, 17)",🥹
1030,"(27, 28)",🥹
10300,"(53, 54)",🥹
10301,"(100, 101)",🥹
10302,"(24, 25)",🥹
10302,"(25, 26)",😭
10303,"(52, 53)",🥹
10304,"(43, 46)",😭😭😭
10304,"(109, 110)",🥹
10305,"(158, 159)",🥹
10306,"(103, 104)",🥹
10307,"(38, 39)",🥹
10308,"(41, 42)",🥹
10309,"(29, 30)",🥹
1031,"(27, 28)",🥹
10310,"(8, 9)",😭
10310,"(27, 28)",🥹
10311,"(19, 20)",🥹
10312,"(67, 68)",🥹
10313,"(28, 29)",🥹
10314,"(21, 22)",🥹
10315,"(53, 54)",🥹
10316,"(55, 56)",😭
10316,"(56, 57)",🥹
